tmc,year,lanes
110+04801,2017,2
110+04800,2017,2
110+04806,2017,2
110+04805,2017,2
110+04804,2017,2
110+04803,2017,2
110+04849,2017,3
110+04848,2017,3
110+04847,2017,2
110+04824,2017,4
110+04823,2017,4
110+04821,2017,3
110+04828,2017,2
110+04827,2017,2
110+04825,2017,3
110+04820,2017,3
110+04819,2017,3
110+04818,2017,3
110+04813,2017,3
110+04812,2017,3
110+04811,2017,3
110+04810,2017,3
110+04817,2017,3
110+04816,2017,3
110+04815,2017,3
110+04814,2017,3
110+04809,2017,3
110+04808,2017,3
110+04807,2017,2
110+04889,2017,4
110+04888,2017,4
110+04887,2017,4
110+04882,2017,3
110+04881,2017,3
110+04880,2017,3
110+04886,2017,4
110+04885,2017,5
110+04884,2017,4
110+04883,2017,3
110+04879,2017,3
110+04878,2017,3
110+04877,2017,2
110+04876,2017,2
110+04871,2017,2
110+04870,2017,3
110+04875,2017,2
110+04874,2017,2
110+04873,2017,2
110+04872,2017,2
110+04868,2017,3
110+04867,2017,3
110+04866,2017,3
110+04865,2017,3
110+04869,2017,3
110+04860,2017,4
110+04864,2017,3
110+04863,2017,3
110+04862,2017,4
110+04861,2017,4
110+04857,2017,3
110+04856,2017,2
110+04855,2017,3
110+04859,2017,3
110+04858,2017,3
110+04852,2017,3
110+04851,2017,3
110+04850,2017,3
110+04899,2017,2
110+04898,2017,2
110+04893,2017,2
110+04892,2017,2
110+04891,2017,2
110+04890,2017,2
110+04897,2017,2
110+04896,2017,2
110+04895,2017,2
110+04894,2017,2
110+04927,2017,3
110+04926,2017,3
110+04925,2017,3
110+04912,2017,3
110+04911,2017,3
110+04915,2017,2
110+04914,2017,2
110+04913,2017,3
110+04908,2017,3
110+04907,2017,3
110+04906,2017,3
110+04901,2017,2
110+04900,2017,2
110+04905,2017,2
110+04904,2017,2
110+04903,2017,2
110+04902,2017,2
110P04608,2017,4
110P04609,2017,4
110P04606,2017,4
110P04607,2017,4
110P04604,2017,4
110P04605,2017,4
110P04603,2017,4
110+04956,2017,3
110+04955,2017,3
110+04953,2017,2
110+04959,2017,3
110+04958,2017,3
110+04957,2017,3
110+04952,2017,2
110+04951,2017,3
110+04950,2017,3
110+04945,2017,3
110+04944,2017,3
110+04949,2017,3
110+04948,2017,3
110+04947,2017,3
110+04946,2017,3
110+04695,2017,2
110+04694,2017,2
110+04693,2017,2
110+04692,2017,2
110+04699,2017,4
110+04698,2017,4
110+04697,2017,4
110+04696,2017,2
110+04691,2017,3
110+04690,2017,3
110P05542,2017,2
110P05540,2017,2
110P05541,2017,2
110P05508,2017,2
110P05509,2017,2
110P05506,2017,2
110P05507,2017,2
110P05504,2017,2
110P05503,2017,2
110P05500,2017,2
110P05519,2017,2
110P05517,2017,2
110P05518,2017,2
110P05513,2017,2
110P05514,2017,2
110P05511,2017,2
110P05512,2017,2
110P05510,2017,2
110N05514,2017,2
110N05513,2017,2
110N05510,2017,2
110N05512,2017,2
110N05511,2017,2
110P05529,2017,2
110N05518,2017,2
110N05517,2017,2
110P05522,2017,2
110N05519,2017,2
110P05520,2017,2
110P05521,2017,2
110N05503,2017,2
110N05504,2017,2
110N05500,2017,2
110P05539,2017,2
110P05537,2017,2
110P05538,2017,2
110N05507,2017,2
110P05535,2017,2
110P05536,2017,2
110P05533,2017,2
110N05509,2017,2
110N05508,2017,2
110P05534,2017,2
110P05531,2017,2
110P05532,2017,2
110P05530,2017,2
110N05536,2017,2
110N05535,2017,2
110N05538,2017,2
110N05537,2017,2
110N05532,2017,2
110N05531,2017,2
110N05534,2017,2
110N05533,2017,2
110N05539,2017,2
110N05530,2017,2
110N05521,2017,2
110N05520,2017,2
110N05522,2017,2
110N05529,2017,2
110N05541,2017,2
110N05540,2017,2
110N04127,2017,3
110N05459,2017,2
110N04128,2017,4
110N05458,2017,2
110N04129,2017,4
110N05455,2017,2
110N04123,2017,4
110N04124,2017,4
110N05454,2017,2
110N04125,2017,4
110N05457,2017,2
110N04126,2017,4
110N05456,2017,2
110N05451,2017,2
110N05450,2017,2
110N04121,2017,3
110N05453,2017,2
110N04122,2017,4
110N05452,2017,2
110N05448,2017,2
110N05447,2017,2
110N05449,2017,2
110N05444,2017,2
110N05443,2017,2
110N05446,2017,2
110N05445,2017,2
110N05440,2017,2
110N04149,2017,3
110N04145,2017,3
110N05477,2017,2
110N04146,2017,3
110N05476,2017,2
110N05479,2017,2
110N04147,2017,3
110N04148,2017,3
110N05478,2017,2
110N05473,2017,2
110N05472,2017,2
110N04143,2017,3
110N05475,2017,2
110N04144,2017,3
110N05474,2017,2
110N05471,2017,2
110N05470,2017,2
110N05469,2017,2
110N05466,2017,3
110N05465,2017,3
110N05468,2017,2
110N05467,2017,2
110N05461,2017,2
110N05464,2017,3
110N05463,2017,3
110N05460,2017,2
110+04604,2017,4
110+04603,2017,4
110N04167,2017,2
110N05499,2017,2
110+04608,2017,4
110N05498,2017,2
110N04168,2017,2
110+04607,2017,4
110N04169,2017,2
110+04606,2017,4
110+04605,2017,4
110N05495,2017,2
110N04163,2017,2
110N04164,2017,2
110N05497,2017,2
110N04165,2017,2
110N05496,2017,2
110N04166,2017,2
110N05491,2017,3
110N05490,2017,3
110N05492,2017,3
110N05488,2017,2
110N04156,2017,4
110N05487,2017,2
110N05484,2017,2
110N04152,2017,4
110N04153,2017,4
110N05483,2017,2
110N04154,2017,4
110N05486,2017,2
110N05485,2017,2
110N04155,2017,4
110N05480,2017,2
110N05482,2017,2
110N04150,2017,3
110N05481,2017,2
110N04151,2017,3
110N04189,2017,2
110N04180,2017,4
110N04185,2017,4
110N04186,2017,2
110N04187,2017,2
110N04188,2017,2
110N04181,2017,4
110N04182,2017,4
110N04183,2017,4
110N04184,2017,4
110N04178,2017,3
110N04179,2017,4
110N04174,2017,2
110N04175,2017,3
110N04176,2017,3
110N04177,2017,3
110N04170,2017,2
110N04171,2017,2
110N04172,2017,2
110N04173,2017,2
110+04648,2017,4
110+04647,2017,4
110+04646,2017,6
110+04645,2017,5
110N04190,2017,2
110N04191,2017,2
110N04192,2017,2
110N04193,2017,2
110+04614,2017,4
110+04613,2017,4
110+04612,2017,4
110+04611,2017,4
110+04610,2017,4
110+04609,2017,4
110+04689,2017,3
110+04684,2017,2
110+04683,2017,2
110+04682,2017,2
110+04681,2017,2
110+04688,2017,3
110+04687,2017,2
110+04686,2017,2
110+04670,2017,4
110-15859,2017,3
110N05415,2017,2
110N05417,2017,2
110N05416,2017,2
110N05410,2017,2
110N05412,2017,2
110N05419,2017,2
110N05404,2017,2
110N05403,2017,2
110N05406,2017,2
110N05405,2017,2
110N05400,2017,2
110N05402,2017,2
110N05401,2017,2
110N05408,2017,2
110N05407,2017,2
110N05409,2017,2
110N05437,2017,2
110N05436,2017,2
110N05439,2017,2
110N05438,2017,2
110N05433,2017,2
110N05432,2017,2
110N05435,2017,2
110N05434,2017,2
110N05431,2017,2
110N05430,2017,2
110N05428,2017,2
110N05427,2017,2
110N05422,2017,2
110N05421,2017,2
110N05424,2017,2
110N05423,2017,2
110N05429,2017,2
110N05420,2017,2
110N05359,2017,2
110N05356,2017,2
110N05355,2017,2
110N05358,2017,2
110N05357,2017,2
110-10920,2017,4
110-10921,2017,4
110-10919,2017,4
110-10918,2017,4
110N05354,2017,2
110N05353,2017,2
110+04729,2017,4
110N05377,2017,2
110+04728,2017,4
110N05379,2017,3
110N05374,2017,2
110N05373,2017,2
110N05376,2017,2
110N05375,2017,2
110N05370,2017,2
110N05372,2017,2
110N05371,2017,2
110+04711,2017,3
110N05367,2017,2
110N05366,2017,2
110N05369,2017,2
110N05368,2017,2
110+04710,2017,4
110N05363,2017,2
110N05362,2017,2
110+04709,2017,4
110N05365,2017,2
110+04708,2017,4
110N05364,2017,2
110N05361,2017,2
110N05360,2017,2
110+04703,2017,4
110+04702,2017,4
110+04701,2017,4
110+04700,2017,4
110+04707,2017,4
110N05399,2017,2
110+04706,2017,4
110+04705,2017,4
110+04704,2017,4
110N05390,2017,3
110N05396,2017,2
110N05395,2017,2
110N05398,2017,2
110N05397,2017,2
110N05392,2017,2
110N05391,2017,3
110N05394,2017,2
110N05393,2017,2
110N16029,2017,3
110N05381,2017,3
110N05380,2017,3
110N05383,2017,3
110N05382,2017,3
110N16072,2017,3
110+04744,2017,4
110+04743,2017,3
110+04742,2017,3
110+04741,2017,3
110+04740,2017,3
110+04736,2017,2
110+04735,2017,3
110+04734,2017,3
110+04733,2017,2
110+04739,2017,2
110+04738,2017,2
110+04737,2017,3
110+04732,2017,2
110+04731,2017,2
110+04730,2017,2
110+04799,2017,2
110+04794,2017,3
110+04793,2017,3
110+04792,2017,3
110+04798,2017,2
110+04796,2017,3
110+04795,2017,3
110+04790,2017,4
110+04789,2017,3
110+04788,2017,3
110+04787,2017,3
110+04786,2017,3
110+04785,2017,3
110+04777,2017,4
110+04772,2017,3
110+04771,2017,2
110+04770,2017,2
110+04776,2017,4
110+04775,2017,3
110+04774,2017,3
110+04773,2017,3
110-04943,2017,3
110-04948,2017,3
110-04949,2017,3
110-04944,2017,3
110-04945,2017,3
110-04946,2017,3
110-04947,2017,3
110P05359,2017,2
110P05357,2017,2
110P05358,2017,2
110P05355,2017,2
110P05356,2017,2
110P05353,2017,2
110P05354,2017,2
110P05368,2017,2
110P05369,2017,2
110P05366,2017,2
110P05367,2017,2
110P05364,2017,2
110P05365,2017,2
110P05362,2017,2
110P05363,2017,2
110P05360,2017,2
110P05361,2017,2
110-04926,2017,3
110-04925,2017,3
110P16029,2017,3
110P05379,2017,3
110P05377,2017,2
110P05375,2017,2
110P05376,2017,2
110-04910,2017,3
110P05373,2017,2
110P05374,2017,2
110P05371,2017,2
110P05372,2017,2
110P05370,2017,2
110-04911,2017,3
110-04912,2017,3
